Name,Date,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR
-,-,Chopin ogg 320,Chopin mp3 320,Chopin mp3 192,Chopin ogg 192,Chopin mp3 128,Chopin mp3 192 128,Chopin mp3 320 192 128,Chopin mp3 64,Chopin ogg 64,OF - Chopin mp3 320,OF - Chopin mp3 192,OF - Chopin ogg 320,OF - Chopin mp3 128,OF - Chopin ogg 192,OF - Chopin mp3 192 128,OF - Chopin mp3 192 128,OF - Chopin mp3 64,OF - Chopin ogg 64,320,3202,1922,100,1313,213,11,41,213,OF - Chopin mp3 320,OF - Chopin mp3 192,OF - Chopin ogg 320,OF - Chopin mp3 128,OF - Chopin ogg 192,OF - Chopin mp3 192 128,OF - Chopin mp3 192 128,OF - Chopin mp3 64,OF - Chopin ogg 64
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,5.0,3.0,4.0,99.0,70.0,37.0,69.0,64.0,92.0,51.0,26.0,48.0,-1.0,-2.0,2.0,-2.0,2.0,0.0,1.0,-3.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,5.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,3.0,67.0,54.0,10.0,3.0,68.0,99.0,84.0,47.0,12.0,2.0,2.0,-3.0,1.0,3.0,1.0,0.0,1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,5.0,1.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0,5.0,96.0,26.0,96.0,100.0,51.0,75.0,18.0,43.0,50.0,3.0,1.0,1.0,-2.0,-1.0,-1.0,-1.0,1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,5.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,5.0,4.0,1.0,3.0,1.0,71.0,13.0,93.0,93.0,42.0,7.0,51.0,62.0,81.0,3.0,-1.0,0.0,-3.0,-3.0,1.0,-1.0,-3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,1.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,29.0,61.0,30.0,8.0,56.0,39.0,29.0,86.0,88.0,-3.0,3.0,-2.0,-2.0,-2.0,0.0,-1.0,3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,2.0,5.0,2.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,4.0,4.0,5.0,36.0,82.0,1.0,81.0,19.0,28.0,99.0,71.0,-2.0,0.0,0.0,-1.0,-2.0,0.0,3.0,2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,3.0,4.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,3.0,46.0,91.0,82.0,92.0,95.0,32.0,53.0,86.0,14.0,-3.0,-3.0,1.0,-2.0,1.0,-3.0,2.0,-1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,5.0,2.0,5.0,4.0,3.0,1.0,5.0,5.0,1.0,5.0,4.0,1.0,5.0,2.0,5.0,1.0,95.0,57.0,91.0,9.0,97.0,22.0,64.0,5.0,60.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0,99.0,72.0,65.0,93.0,22.0,8.0,62.0,37.0,78.0,2.0,-1.0,-3.0,-2.0,3.0,-3.0,-2.0,2.0,-3.0
